Situation familiale;Nombre de 2rm conduits par le membre;Age du membre;CSP du membre;Tranche_age;Tranche_annee de mise en circulation du 2rm 1;Annee de mise en circulation du 2rm 2;Annee de mise en circulation du 2rm 3;Cylindree du 2rm 1;Cylindree du 2rm 2;Cylindree du 2rm 3;Frequence d utilisation du 2rm 1;Frequence d utilisation du 2rm 2;Frequence d utilisation du 2rm 3;Nombre de kilometres parcourus par an sur l ensemble des 2RM;Marque du 2rm 1;Marque du 2rm 2;Marque du 2rm 3;Segment du 2rm 1;Segment du 2rm 2;Segment du 2rm 3;Usage du 2rm 1;Usage du 2rm 2;Usage du 2rm 3;Votre categorie socioprofessionnelle :;Q97 Le confinement vous a permis d’apprendre a vous deplacer autrement.;Q97 Vous pensez que c’est benefique pour votre sante.;Q97 Vous souhaitez generer moins de pollution.;Q97 Vous gagnez du temps.;Q97 Vous gagnez en autonomie.;Q97 Vous respectez la distanciation sociale.;Q97 Vous etes moins expose au risque sanitaire.;Q97 Vous evitez les contraintes des bouchons.;Q97 Vous ne dependez plus des transports en commun ou d’une tierce personne.;Q97 Vous etes moins impacte en cas de mouvements sociaux.;Q97 Autre. Precisez;La crise sanitaire a-t-elle eu un impact sur les revenus de votre foyer ?;Suite a la crise  etes-vous inquiet pour : - la perennite de votre emploi;Suite a la crise  etes-vous inquiet pour : - la perennite de votre entreprise;Suite a la crise  etes-vous inquiet pour : - l’impact sur l’economie nationale;Suite a la crise  etes-vous inquiet pour : - la situation financiere de votre foyer;Suite a la crise  etes-vous inquiet pour : - Autre. Precisez;Suite a la crise  etes-vous inquiet pour : - Vous n etes pas inquiet(ete).;Budget 2RM agrege;Evolution budget agrege;Votre categorie socioprofessionnelle :;En voiture - Avant le confinement;En voiture - Pendant le confinement;En voiture - Dans les mois qui vont suivre;A 2-roues motorise - Avant le confinement;A 2-roues motorise - Pendant le confinement;A 2-roues motorise - Dans les mois qui vont suivre;A velo - Avant le confinement;A velo - Pendant le confinement;A velo - Dans les mois qui vont suivre;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Avant le confinement;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Pendant le confinement;Avec un engin nouvelle mobilite electrique (trottinette electrique  Velo a Assistance electrique…) - Dans les mois qui vont suivre;En transports en commun - Avant le confinement;En transports en commun - Pendant le confinement;En transports en commun - Dans les mois qui vont suivre;En co-voiturage - Avant le confinement;En co-voiturage - Pendant le confinement;En co-voiturage - Dans les mois qui vont suivre;En auto/moto partage - Avant le confinement;En auto/moto partage - Pendant le confinement;En auto/moto partage - Dans les mois qui vont suivre;A pied - Avant le confinement;A pied - Pendant le confinement;A pied - Dans les mois qui vont suivre;Non concerne(e) - Avant le confinement;Non concerne(e) - Pendant le confinement;Non concerne(e) - Dans les mois qui vont suivre;Autre - Avant le confinement;Autre - Pendant le confinement;Autre - Dans les mois qui vont suivre;Aviez-vous l’intention de changer de 2-roues motorise en 2020 ?;change2rm
Seul(e) sans enfant;2rm : 1;66;Retraite;60-69 ans;[2006-2010];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[500-1000];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;49;Profession liberale et artistique;40-49 ans;[1991-2000];;;125 - A1;;;Quelques fois par an;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession liberale et artistique;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Oui;Oui;Non;Non;Oui;[0-300];rester stable;Profession liberale et artistique;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
Seul(e) avec enfants;2rm : 1;55;Artisan  commercant assimile;50-59 ans;[2006-2010];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Artisan  commer cant assimile;;;;;;;;;;;;Oui  vos revenus ont diminue.;Oui;Oui;Oui;Oui;Non;Oui;[500-1000];rester stable;Artisan  commer cant assimile;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 2;39;Chef d entreprise de 10 salaries ou plus;30-39 ans;[1991-2000];[2016-2019];;[200 - 600] - A2;1000+ - A;;Quelques fois par mois;Tous les jours;Non conducteur de 2rm 3;[15000-];SUZUKI;HONDA;Non conducteur de 2rm 3;Trail / Supermotard;Trail / Supermotard;Non conducteur de 2rm 3;Pour les loisirs;Pour les trajets domicile travail;Non conducteur de 2rm 3;Chef d entreprise de 10 salaries ou plus;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Oui;Non;Non;Non;Non;[1000-];rester stable;Chef d entreprise de 10 salaries ou plus;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 2;45;Cadre;40-49 ans;[2001-2005];[2016-2019];;[650 - 990] - A;1000+ - A;;Quelques fois par mois;Tous les jours;Non conducteur de 2rm 3;[10000-15000];SUZUKI;BMW;Non conducteur de 2rm 3;Roadster;Routiere / GT;Non conducteur de 2rm 3;Pour les loisirs;Pour les trajets domicile travail;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Non;Non;[1000-];rester stable;Cadre;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 2;58;Profession intermediaire;50-59 ans;[2006-2010];[1991-2000];;1000+ - A;[650 - 990] - A;;Quelques fois par semaine;Quelques fois par an;Non conducteur de 2rm 3;[15000-];BMW;TRIUMPH;Non conducteur de 2rm 3;Routiere / GT;Roadster;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Profession intermediaire;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[1000-];rester stable;Profession intermediaire;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 2;58;Autre sans activite professionnelle (personne au foyer...);50-59 ans;[2001-2005];[2016-2019];;1000+ - A;[200 - 600] - A2;;Quelques fois par semaine;Quelques fois par semaine;Non conducteur de 2rm 3;[15000-];HONDA;QUADRO TECHNOLOGIE;Non conducteur de 2rm 3;Routiere / GT;Scooter;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Autre sans activite professionnelle (personne au foyer...);;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[500-1000];rester stable;Autre sans activite professionnelle (personne au foyer...);Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;47;Cadre;40-49 ans;[2016-2019];;;[650 - 990] - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Scooter;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 2;61;Retraite;60-69 ans;[2006-2010];[2001-2005];;1000+ - A;125 - A1;;Tous les jours;Tous les jours;Non conducteur de 2rm 3;[15000-];BMW;HONDA;Non conducteur de 2rm 3;Trail / Supermotard;Scooter;Non conducteur de 2rm 3;Pour les trajets domicile travail;Pour les trajets domicile travail;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Avenir de mes enfants;Oui;[300 500];diminuer;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
Seul(e) avec enfants;2rm : 1;37;Employe;30-39 ans;[1991-2000];;;[200 - 600] - A2;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];SUZUKI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Employe;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui vous allez changer de 2 roues d ici la fin de l annee;True
Seul(e) sans enfant;2rm : 1;70;Retraite;70 et plus;[2011-2015];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Non;Non;[300 500];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;59;Autre sans activite professionnelle (personne au foyer...);50-59 ans;[1991-2000];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Autre sans activite professionnelle (personne au foyer...);;;;;;;;;;;;Oui  vos revenus ont diminue.;;;Oui;Non;Non;;[300 500];rester stable;Autre sans activite professionnelle (personne au foyer...);Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
Seul(e) avec enfants;2rm : 3;53;Cadre;50-59 ans;[2006-2010];[2001-2005];[2006-2010];1000+ - A;1000+ - A;125 - A1;Quelques fois par semaine;Quelques fois par an;Quelques fois par an;[5200-10000];BMW;YAMAHA;KYMCO;Routiere / GT;Roadster;Scooter;Pour les loisirs;Pour les loisirs;Pour les loisirs;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Cadre;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;49;Employe;40-49 ans;[2001-2005];;;1000+ - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Oui  vos revenus ont augmente.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Employe;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
En couple avec enfant(s);2rm : 1;57;Ouvrier;50-59 ans;[1991-2000];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Ouvrier;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Ouvrier;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 2;62;Retraite;60-69 ans;[1991-2000];[1981-1990];;[650 - 990] - A;[650 - 990] - A;;Quelques fois par semaine;Quelques fois par an;Non conducteur de 2rm 3;[15000-];YAMAHA;YAMAHA;Non conducteur de 2rm 3;Routiere / GT;Routiere / GT;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[0-300];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;55;Employe;50-59 ans;[2001-2005];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HARLEY-DAVIDSON;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Employe;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;40;Employe;40-49 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];APRILIA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Sportive;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Employe;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;45;Cadre;40-49 ans;[2006-2010];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Cadre;Oui;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
Seul(e) sans enfant;2rm : 1;63;Retraite;60-69 ans;[2016-2019];;;1000+ - A;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[15000-];KTM;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[1000-];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
Seul(e) sans enfant;2rm : 1;45;Profession liberale et artistique;40-49 ans;[1991-2000];;;[200 - 600] - A2;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession liberale et artistique;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Profession liberale et artistique;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;63;Cadre;60-69 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];TRIUMPH;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Trail / Supermotard;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Cadre;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;64;Cadre;60-69 ans;[1991-2000];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Oui;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[0-300];rester stable;Cadre;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;29;Profession liberale et artistique;Moins de 30 ans;[2001-2005];;;1000+ - A;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];DUCATI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession liberale et artistique;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;;Oui;[300 500];rester stable;Profession liberale et artistique;Oui;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 4;60;Artisan  commercant assimile;60-69 ans;[2006-2010];[1981-1990];[1991-2000];1000+ - A;[200 - 600] - A2;125 - A1;Quelques fois par semaine;Quelques fois par mois;Quelques fois par mois;[15000-];HONDA;YAMAHA;YAMAHA;Routiere / GT;Tout terrain (Trial   Enduro  Cross);Tout terrain (Trial   Enduro  Cross);Pour les loisirs;Pour les loisirs;Pour les loisirs;Artisan  commer cant assimile;;;;;;;;;;;;Oui  vos revenus ont diminue.;Non;Non;Oui;Oui;Non;Oui;[1000-];augmenter;Artisan  commer cant assimile;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
Seul(e) sans enfant;2rm : 4;50;Cadre;50-59 ans;[2006-2010];[1991-2000];[-1980];1000+ - A;1000+ - A;50 - AM;Quelques fois par semaine;Quelques fois par semaine;Quelques fois par an;[15000-];HONDA;BMW;SUZUKI;Routiere / GT;Trail / Supermotard;Roadster;Pour les loisirs;Pour les loisirs;Pour les loisirs;Cadre;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;;Oui  vos revenus ont diminue.;Non;Non;Non;Non;Non;Non;[500-1000];augmenter;Cadre;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;56;Cadre;50-59 ans;[2016-2019];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Oui;Non;Non;Oui;[500-1000];rester stable;Cadre;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;58;Cadre;50-59 ans;[2001-2005];;;1000+ - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];BMW;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Non;Non;[0-300];augmenter;Cadre;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
Seul(e) sans enfant;2rm : 1;59;Retraite;50-59 ans;[2006-2010];;;[650 - 990] - A;;;Quelques fois par mois;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[5200-10000];HONDA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Routiere / GT;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[500-1000];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 2;47;Employe;40-49 ans;[1991-2000];[2011-2015];;[650 - 990] - A;1000+ - A;;Quelques fois par semaine;Quelques fois par mois;Non conducteur de 2rm 3;[10000-15000];HONDA;HONDA;Non conducteur de 2rm 3;Trail / Supermotard;Roadster;Non conducteur de 2rm 3;Pour les loisirs;Pour les loisirs;Non conducteur de 2rm 3;Employe;;;;;;;;;;;;Oui  vos revenus ont diminue.;Oui;Oui;Oui;Oui;Non;Oui;[1000-];diminuer;Employe;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
En couple sans enfant;2rm : 1;57;Cadre;50-59 ans;[2006-2010];;;[200 - 600] - A2;;;Tous les jours;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Scooter;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les trajets domicile travail;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Cadre;;;;;;;;;;;;Non  vos revenus sont inchanges.;Non;Non;Non;Non;Non;Non;[500-1000];rester stable;Cadre;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;False
En couple avec enfant(s);2rm : 1;38;Profession intermediaire;30-39 ans;[2001-2005];;;[650 - 990] - A;;;Quelques fois par an;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[0-5200];DUCATI;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Profession intermediaire;;;;;;;;;;;;Oui  vos revenus ont augmente.;Non;Non;Oui;Non;Non;Oui;[300 500];rester stable;Profession intermediaire;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;False
En couple sans enfant;2rm : 1;65;Retraite;60-69 ans;[2016-2019];;;125 - A1;;;Quelques fois par semaine;Non conducteur de 2rm 2;Non conducteur de 2rm 3;[10000-15000];YAMAHA;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Roadster;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Pour les loisirs;Non conducteur de 2rm 2;Non conducteur de 2rm 3;Retraite;;;;;;;;;;;;Non  vos revenus sont inchanges.;;;Oui;Non;Non;;[0-300];rester stable;Retraite;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui vous aviez l intention mais vous avez change d avis;False
